kegg,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
K14589,452.0060684,-7.483741723,1.391969207,-5.376370169,7.60E-08,2.83E-06
K12301,316.9019594,-6.648273897,1.236717533,-5.375741607,7.63E-08,2.83E-06
K09503,1050.34048,-7.13461314,1.327753565,-5.373446797,7.72E-08,2.85E-06
K04419,769.0818448,-6.899334988,1.28442944,-5.371517325,7.81E-08,2.87E-06
K10380,2199.44657,-6.946969074,1.293500741,-5.370672665,7.84E-08,2.87E-06
K03935,529.3899148,-6.773696664,1.26344365,-5.361297013,8.26E-08,3.00E-06
K11669,1179.488259,-12.90423587,2.407838194,-5.359262055,8.36E-08,3.02E-06
K10233,675.9906091,9.955610847,1.862002116,5.346723702,8.96E-08,3.22E-06
K11659,592.2738663,-9.24031858,1.730873304,-5.338529724,9.37E-08,3.35E-06
K15657,408.6652083,7.914731145,1.483185266,5.336306478,9.49E-08,3.37E-06
K11826,1787.202172,-6.204281343,1.167032539,-5.316288225,1.06E-07,3.75E-06
K04825,994.5764086,-10.93185627,2.057012329,-5.314434005,1.07E-07,3.77E-06
K12366,957.8385551,-9.897737179,1.868145566,-5.298161641,1.17E-07,4.10E-06
K01415,654.0638777,-6.998134341,1.321176308,-5.296896634,1.18E-07,4.11E-06
K18436,1058.924507,-7.722390921,1.459051354,-5.292747852,1.20E-07,4.18E-06
K00836,1051.635919,4.142374823,0.782798612,5.291750345,1.21E-07,4.18E-06
K10650,1269.769359,-12.04863468,2.278500452,-5.287966772,1.24E-07,4.25E-06
K09379,430.7000317,-11.45088481,2.174013597,-5.267163382,1.39E-07,4.73E-06
K15161,730.3131807,-12.21266924,2.321514507,-5.260647395,1.44E-07,4.86E-06
K03598,223.1607463,10.98115367,2.087464653,5.260521968,1.44E-07,4.86E-06
K19178,1176.525149,-10.97159803,2.086931946,-5.257285963,1.46E-07,4.92E-06
K08847,757.8142411,-9.062017624,1.726969391,-5.247352773,1.54E-07,5.17E-06
K01818,13790.81213,1.618761608,0.309057727,5.237732202,1.63E-07,5.42E-06
K18462,898.5198992,-11.54922892,2.207650539,-5.231457025,1.68E-07,5.55E-06
K16348,887.0600775,4.007545735,0.76606716,5.231324279,1.68E-07,5.55E-06
K02116,1163.094668,2.889969498,0.55340075,5.222200188,1.77E-07,5.78E-06
K04571,843.4203993,-12.42042204,2.378421689,-5.222127807,1.77E-07,5.78E-06
K10950,667.7095808,-12.08338787,2.319495398,-5.20948991,1.89E-07,6.16E-06
K05788,217.2573702,7.694536987,1.47860264,5.203924825,1.95E-07,6.32E-06
K03515,1210.2778,-10.70000381,2.061528964,-5.190324269,2.10E-07,6.76E-06
K11138,891.7531661,-12.50080592,2.411530743,-5.183763865,2.17E-07,6.96E-06
K00591,256.7189532,6.075504974,1.172150128,5.183214019,2.18E-07,6.96E-06
K10536,6818.423708,1.585830883,0.306459473,5.174683846,2.28E-07,7.25E-06
