full_classification	GM1a_eukulele_ALL.txt	GM4c_eukulele_ALL.txt	GM4a_eukulele_ALL.txt	GM1c_eukulele_ALL.txt	GM4b_eukulele_ALL.txt	GM1b_eukulele_ALL.txt
Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmata; Thermoplasmatales	116.80839	114.80393999999998	732.1482000000001	54.71654999999999	497.43733	34.57385
Archaea; Euryarchaeota; Thermoplasmata; Thermoplasmata; Thermoplasmatales; Thermoplasmataceae	16.74509	31.64913	124.7667	11.33294	67.37125	13.82073
Archaea; Euryarchaeota; unclassified Euryarchaeota	2002.5616200000004	2564.01754	3503.90291	2741.0531399999995	1460.6353600000002	1102.70651
Archaea; Euryarchaeota; unclassified Euryarchaeota; Unclassified	6842.121929999999	5175.088980000001	7381.015409999999	5995.218789999997	5680.376869999993	3575.8798800000013
Archaea; Euryarchaeota; unclassified Euryarchaeota; Unclassified; Unclassified	1102.38638	2459.336710000001	2793.7147600000008	842.40476	2037.9785699999995	553.7019699999998
Archaea; Euryarchaeota; unclassified Euryarchaeota; Unclassified; Unclassified; Unclassified	76.42573999999999	81.44024	114.53316999999998	111.82	108.76226	27.40392
Archaea; TACK group	5.96656	58.41532	25.5992		348.13871	
Archaea; TACK group; Crenarchaeota	1395.40319	3427.8393500000006	1718.1777200000004	1331.3734799999995	2060.58884	998.92087
Archaea; TACK group; Crenarchaeota; Thermoprotei	6395.807240000002	6978.047660000002	9262.080829999995	4426.507149999998	8044.203050000005	4365.338949999999
Archaea; TACK group; Crenarchaeota; Thermoprotei; Desulfurococcales	1627.8484100000005	1302.58251	2421.651060000002	766.0936	1296.56745	461.0661599999997
Archaea; TACK group; Crenarchaeota; Thermoprotei; Desulfurococcales; Desulfurococcaceae	20.68882	23.96414	20.49121		134.42114	2.16322
Archaea; TACK group; Crenarchaeota; Thermoprotei; Desulfurococcales; Pyrodictiaceae	903.84052	430.95026	1024.37912	1174.22672	328.89044	323.23259
Archaea; TACK group; Crenarchaeota; Thermoprotei; Thermoproteales	282.21054	337.51911	465.1529000000001	126.18715	510.28159	245.86203000000003
Archaea; TACK group; Thaumarchaeota	1248.72067	416.34107000000006	673.93795	517.6404200000002	648.9073099999999	304.70774
Archaea; TACK group; Thaumarchaeota; Unclassified	7199.237739999997	4781.184430000002	6020.080309999998	4732.4334	9872.455570000004	3601.9319299999984
Archaea; TACK group; Thaumarchaeota; Unclassified; Cenarchaeales	236.60487	84.67693999999999	255.84987	103.35924	220.66251	26.54265
Archaea; TACK group; Thaumarchaeota; Unclassified; Nitrosopumilales	1050.93217	304.42711999999995	412.11491	814.31373	462.76158	292.60134
Archaea; TACK group; Thaumarchaeota; Unclassified; Nitrosopumilales; Nitrosopumilaceae	0.96533	28.02356	59.79104999999999	13.74924	42.71494	6.93874
